Nr;Film;Erscheinungsjahr;Regisseur;Genre;Bewertung
112;Die Bourne Identität;2002;Doug Liman;;7
113;Die Bourne Verschwörung;2004;Paul Greengrass;;7
114;Die Croods;2013;Kirk De Micco;Disney;0
115;Die Eiskönigin: Völlig Unverfroren;2013;Chris Buck;Disney;0
116;Die Entdeckung der Unendlichkeit;2014;James Marsh;;8
117;Die Legende der Wächter;2010;Zack Snyder;Disney;0
118;Die Liga der außergewöhnlichen Gentlemen;2003;Stephen Norrington;;7
119;Die Schadenfreundinnen;2014;Nick Cassavetes;;6
120;Die Schöne und das Biest;2014;Christophe Gans;;7
121;Die Schöne und das Biest;2017;Bill Condon;;9
122;Die Schöne und das Biest;1991;Gary Trousdale;Disney;0
123;Die Tribute von Panem: Catching Fire;2013;Francis Lawrence;;8
124;Die Tribute von Panem: Mockingjay - Teil 1;2014;Francis Lawrence;;8
125;Die Tribute von Panem: Mockingjay - Teil 2;2014;Francis Lawrence;;8
126;Die Tribute von Panem: The Hunger Games;2012;Gary Ross;;8
127;Die Twilight Saga: Breaking Dawn: Bis(s) zum Ende der Nacht - Teil 2;2012;Bill Condon;;7
128;Die Unfassbaren 2: Now You See Me;2016;Jon M. Chu;;6
129;Die Unfassbaren: Now You See Me;2013;Louis Leterrier;;7
130;Die Wanderhure;2010;Hansjörg Thurn;Drama;6
131;Die Rache der Wanderhure;2012;Hansjörg Thurn;Drama;6
132;Das Vermächtnis der Wanderhure;2012;Thomas Nennstiel;Drama;6
133;Die drei Musketiere;2011;Paul W.S. Anderson;;7
134;Die dunkelste Stunde;2017;Joe Wright;;7
135;Die fantastische Welt von Oz;2013;Sam Raimi;;7
136;Die glorreichen Sieben;2016;Antoine Fuqua;;9
137;Die irre Heldentour des Billy Lynn;2016;Ang Lee;;6
138;Django Unchained;2012;Quentin Tarantino;;9
139;Doctor Strange;2016;Scott Derrickson;;6
140;Dornröschen;1959;Clyde Geronimi;Disney;0
141;Dracula Untold;2014;Gary Shore;;8
142;Dredd;2012;Pete Travis;;8
143;Dumbo;1941;Samuel Armstrong;Disney;0
144;Dunkirk;2017;Christopher Nolan;;6
145;Edge of Tomorrow: Live.Die.Repeat;2014;Doug Liman;;8
146;Ein Quantum Trost;2008;Marc Forster;;7
147;Ein ganzes halbes Jahr;2016;Thea Sharrock;Drama;8
148;Elysium;2013;Neill Blomkamp;;6
149;Er ist wieder da;2015;David Wnendt;Komödie;7
150;Escape Plan;2013;Mikael HÃ¥fstrÃ¶m;;6
151;Fack ju Göhte;2013;Bora Dagtekin;;7
152;Fack ju Göhte 2;2015;Bora Dagtekin;;5
153;Fack ju Göhte 3;2017;Bora Dagtekin;;6
154;Fantastic Four;2015;Josh Trank;;7
155;Fantastic Four;2005;Tim Story;;6
156;Fantastic Four: Rise of The Silver Surfer;2007;Tim Story;;6
157;Fast & Furious;2009;Justin Lin;;8
158;Fast & Furious 5;2011;Justin Lin;;6
159;Fast & Furious 6;2013;Justin Lin;;6
160;Feinde - Hostiles;2017;Scott Cooper;;9
161;Fences;2016;Denzel Washington;;7
162;Fifty Shades of Grey - Gefährliche Liebe;2017;James Foley;;7
163;Fifty Shades of Grey: Befreite Lust;2018;James Foley;;7
164;Fifty Shades of Grey: Geheimes Verlangen;2015;Sam Taylor-Johnson;;6
165;Fighting;2009;Dito Montiel;;7
166;Flags of our Fathers;2006;Clint Eastwood;;8
167;Flight;2012;Robert Zemeckis;;8
168;Forrest Gump;1994;Robert Zemeckis;;10
169;Frau Ella;2013;Markus Goller;;8
170;Free State of Jones;2016;Gary Ross;;9
171;G.I. Joe: Die Abrechnung;2013;Jon M. Chu;;7
172;G.I. Joe: Geheimauftrag Cobra;2009;Stephen Sommers;;6
173;Game Night;2018;John Francis Daley;;6
174;Game of Thrones: Die Komplette dritte Staffel;2013;Alan Taylor;;10
175;Game of Thrones: Die komplette erste Staffel;2011;Alan Taylor;;10
176;Game of Thrones: Die komplette fünfte Staffel;2015;Alan Taylor;;10
177;Game of Thrones: Die komplette sechste Staffel;2016;Alan Taylor;;10
178;Game of Thrones: Die komplette vierte Staffel;2014;Alan Taylor;;10
179;Game of Thrones: Die komplette zweite Staffel;2011;Alan Taylor;;10
180;Gamer;2009;Mark Neveldine;;7
181;Gangster Squad;2013;Ruben Fleischer;;6
182;Ghost in the Shell;2017;Rupert Sanders;;7
183;Gladiator;2000;Ridley Scott;;6
184;Gods of Egypt;2016;Alex Proyas;;6
185;Godzilla;2014;Gareth Edwards;;7
186;Green Lantern;2011;Martin Campbell;;7
187;Guardians of the Galaxy;2014;James Gunn;;8
188;Guardians of the Galaxy Vol. 2;2016;James Gunn;;7
189;Hacksaw Ridge: Die Entscheidung;2016;Mel Gibson;;8
190;Hancock;2008;Peter Berg;;7
191;Harry Potter und der Feuerkelch;2005;Mike Newell;;9
192;Harry Potter und der Gefangene von Askaban;2004;Alfonso CuarÃ³n;;9
193;Harry Potter und der Halbblutprinz;2009;David Yates;;9
194;Harry Potter und der Orden des Phönix;2007;David Yates;;9
195;Harry Potter und der Stein der Weisen;2001;Chris Columbus;;9
196;Harry Potter und die Heiligtümer des Todes: Teil 1;2010;David Yates;;9
197;Harry Potter und die Heiligtümer des Todes: Teil 2;2011;David Yates;;9
198;Harry Potter und die Kammer des Schreckens;2002;Chris Columbus;;9
