;Name;Jahr;IMDB;Laufzeit;Regisseur
250;The Revenant: Der Rückkehrer;2015;tt1663202;156;Alejandro G. Iñárritu
246;The Wolf of Wall Street;2013;tt0993846;180;Martin Scorsese
218;Thor;2011;tt0800369;115;Kenneth Branagh
231;Thor: The Dark Kingdom;2013;tt1981115;112;Alan Taylor
426;TinkerBell - Das Geheimnis der Feenflügel;2012;tt1217213;75;Roberts Gannaway
427;TinkerBell und die Piratenfee;2014;tt2483260;78;
238;Titanen: 2-Movie-Collection;;;205;
343;Titanic;1997;tt0120338;194;James Cameron
446;Tomb Raider;2018;tt1365519;118;Roar Uthaug
448;Top Gun;1986;tt0092099;110;Tony Scott
222;Transcendence;2014;tt2209764;119;Wally Pfister
40;Transporter I-III;;;290;
242;Tränen der Sonne;2003;tt0314353;121;Antoine Fuqua
330;Triple 9;2016;tt1712261;116;John Hillcoat
219;Troja;2004;tt0332452;196;Wolfgang Petersen
386;Trolls;2016;tt1679335;93;Walt Dohrn
241;Türkisch für Anfänger;2012;tt1650536;109;Bora Dagtekin
402;Underworld;2003;tt0320691;133;Len Wiseman
394;Underworld: Aufstand der Lykaner;2009;tt0834001;92;Patrick Tatopoulos
395;Underworld: Awakening;2012;tt1496025;88;Måns Mårlind
396;Underworld: Blood Wars;2016;tt3717252;91;Anna Foerster
393;Underworld: Evolution;2006;tt0401855;106;Len Wiseman
375;Undisputed: Sieg ohne Ruhm;2002;tt0281322;92;
230;Unknown Identity;2011;tt1401152;113;Jaume Collet-Serra
432;Vaiana;2016;tt3521164;107;Ron Clements
414;Valerian: Die Stadt der tausend Planeten;2017;tt2239822;137;Luc Besson
235;Vamps: Dating mit Biss;2012;tt1545106;95;Amy Heckerling
225;Vaterfreuden;2014;tt2979336;110;Matthias Schweighöfer
433;Vengeance: Pfad der Vergeltung;2017;tt5460530;99;Johnny Martin
28;Vergessene Welt: Jurassic Park;1997;tt0119567;128;Steven Spielberg
245;Vice;2015;tt3480796;96;Brian A Miller
247;Voll abgezockt;2013;tt2024432;111;Seth Gordon
234;Wanted;2008;tt0493464;110;Timur Bekmambetov
237;War;2007;tt0499556;103;Philip G. Atwell
328;Warcraft: The Beginning;2016;tt0803096;123;Duncan Jones
236;Warm Bodies: Zombies mit Herz;2013;tt1588173;98;Jonathan Levine
243;Warrior;2011;tt1291584;140;Gavin O'Connor
249;Wenn ich bleibe;2014;tt1355630;107;R.J. Cutler
244;White House Down;2013;tt2334879;131;Roland Emmerich
221;Wild Wild West;1999;tt0120891;106;Barry Sonnenfeld
431;Wind River;2017;tt5362988;107;Taylor Sheridan
233;Wir waren Helden;2002;tt0277434;138;Randall Wallace
223;Wolverine: Weg des Kriegers;2013;tt1430132;126;James Mangold
407;Wonder Woman;2017;tt0451279;141;Patty Jenkins
220;World War Z;2013;tt0816711;123;Marc Forster
37;X-Men;2000;tt0120903;104;Bryan Singer
38;X-Men 2;2003;tt0290334;133;Bryan Singer
34;X-Men Complete Collection;;;579;
36;X-Men Origins: Wolverine;2009;tt0458525;107;Gavin Hood
209;X-Men: Apocalypse;2016;tt3385516;144;Bryan Singer
39;X-Men: Der letzte Widerstand;2006;tt0376994;104;Brett Ratner
35;X-Men: Erste Entscheidung;2011;tt1270798;131;Matthew Vaughn
228;X-Men: Zukunft ist Vergangenheit;2014;tt1877832;132;Bryan Singer
229;Zero Dark Thirty;2012;tt1790885;157;Kathryn Bigelow
226;Ziemlich beste Freunde;2011;tt1675434;112;Olivier Nakache
240;Zorn der Titanen;2012;tt1646987;99;Jonathan Liebesman
227;Zwei an einem Tag;2011;tt1563738;107;Lone Scherfig
364;xXx: Die Rückkehr des Xander Cage;2017;tt1293847;107;D.J. Caruso
