;Name;Jahr;IMDB;Laufzeit;Regisseur
215;Der Marsianer - Rettet Mark Watney;2015;tt3659388;142;Ridley Scott
200;Der Medicus;2013;tt2101473;155;Philipp Stölzl
204;Der Pianist;2002;tt0253474;149;Roman Polanski
203;Der Soldat James Ryan;1998;tt0120815;169;Steven Spielberg
202;Der Staatsfeind Nr. 1;1998;tt0120660;132;Tony Scott
208;Der blutige Pfad Gottes;1999;tt0144117;108;Troy Duffy
207;Der blutige Pfad Gottes 2;2009;tt1300851;115;Troy Duffy
415;Der dunkle Turm;2017;tt1648190;95;Nikolaj Arcel
206;Der gestiefelte Kater;2011;tt0448694;90;Chris Miller
205;Der grosse Gatsby;2013;tt1343092;142;Baz Luhrmann
146;Der unglaubliche Hulk;2008;tt0800080;113;Louis Leterrier
190;Die Bestimmung: Divergent;2014;tt1840309;139;Neil Burger
31;Die Bourne Identität;2002;tt0258463;119;Doug Liman
30;Die Bourne Verschwörung;2004;tt0372183;341;Paul Greengrass
32;Die Bourne Verschwörung;2004;tt0372183;108;Paul Greengrass
310;Die Croods;2013;tt0481499;99;Kirk De Micco
306;Die Eiskönigin: Völlig Unverfroren;2013;tt2294629;102;Chris Buck
197;Die Entdeckung der Unendlichkeit;2014;tt2980516;123;James Marsh
195;Die Legende der Wächter;2010;tt1219342;93;Zack Snyder
201;Die Liga der außergewöhnlichen Gentlemen;2003;tt0311429;110;Stephen Norrington
333;Die Schadenfreundinnen;2014;tt2203939;109;Nick Cassavetes
308;Die Schöne und das Biest;2014;tt2316801;114;Christophe Gans
380;Die Schöne und das Biest;2017;tt2771200;129;Bill Condon
465;Die Schöne und das Biest;1991;tt0101414;91;Gary Trousdale
193;Die Tribute von Panem: Catching Fire;2013;tt1951264;146;Francis Lawrence
409;Die Tribute von Panem: Mockingjay - Teil 1;2014;tt1951265;123;Francis Lawrence
192;Die Tribute von Panem: Mockingjay - Teil 2;2014;tt1951266;138;Francis Lawrence
194;Die Tribute von Panem: The Hunger Games;2012;tt1392170;142;Gary Ross
82;Die Twilight Saga: Breaking Dawn: Bis(s) zum Ende der Nacht - Teil 2;2012;tt1673434;115;Bill Condon
347;Die Unfassbaren 2: Now You See Me;2016;tt3110958;129;Jon M. Chu
191;Die Unfassbaren: Now You See Me;2013;tt1670345;115;Louis Leterrier
41;Die Wanderhure - Trilogie;;;364;
198;Die drei Musketiere;2011;tt1509767;111;Paul W.S. Anderson
435;Die dunkelste Stunde;2017;tt4555426;125;Joe Wright
196;Die fantastische Welt von Oz;2013;tt1623205;130;Sam Raimi
351;Die glorreichen Sieben;2016;tt2404435;132;Antoine Fuqua
368;Die irre Heldentour des Billy Lynn;2016;tt2513074;113;Ang Lee
189;Django Unchained;2012;tt1853728;165;Quentin Tarantino
373;Doctor Strange;2016;tt1211837;115;Scott Derrickson
313;Dornröschen;1959;tt0053285;76;Clyde Geronimi
199;Dracula Untold;2014;tt0829150;92;Gary Shore
188;Dredd;2012;tt1343727;95;Pete Travis
311;Dumbo;1941;tt0033563;64;Samuel Armstrong
416;Dunkirk;2017;tt5013056;106;Christopher Nolan
112;Edge of Tomorrow: Live.Die.Repeat;2014;tt1631867;113;Doug Liman
187;Ein Quantum Trost;2008;tt0830515;106;Marc Forster
372;Ein ganzes halbes Jahr;2016;tt2674426;110;Thea Sharrock
186;Elysium;2013;tt1535108;109;Neill Blomkamp
184;Er ist wieder da;2015;tt4176826;115;David Wnendt
183;Escape Plan;2013;tt1211956;116;Mikael Håfström
182;Fack ju Göhte;2013;tt2987732;117;Bora Dagtekin
181;Fack ju Göhte 2;2015;tt3702996;118;Bora Dagtekin
429;Fack ju Göhte 3;2017;tt6471264;120;Bora Dagtekin
178;Fantastic Four;2015;tt1502712;100;Josh Trank
180;Fantastic Four;2005;tt0120667;105;Tim Story
179;Fantastic Four: Rise of The Silver Surfer;2007;tt0486576;92;Tim Story
174;Fast & Furious;2009;tt1013752;107;Justin Lin
173;Fast & Furious 5;2011;tt1596343;130;Justin Lin
172;Fast & Furious 6;2013;tt1905041;130;Justin Lin
463;Feinde - Hostiles;2017;tt5478478;134;Scott Cooper
378;Fences;2016;tt2671706;139;Denzel Washington
366;Fifty Shades of Grey - Gefährliche Liebe;2017;tt4465564;131;James Foley
438;Fifty Shades of Grey: Befreite Lust;2018;tt4477536;110;James Foley
171;Fifty Shades of Grey: Geheimes Verlangen;2015;tt2322441;128;Sam Taylor-Johnson
170;Fighting;2009;tt1082601;108;Dito Montiel
169;Flags of our Fathers;2006;tt0418689;132;Clint Eastwood
168;Flight;2012;tt1907668;139;Robert Zemeckis
167;Forrest Gump;1994;tt0109830;142;Robert Zemeckis
166;Frau Ella;2013;tt2669766;105;Markus Goller
385;Free State of Jones;2016;tt1124037;139;Gary Ross
162;G.I. Joe: Die Abrechnung;2013;tt1583421;123;Jon M. Chu
163;G.I. Joe: Geheimauftrag Cobra;2009;tt1046173;118;Stephen Sommers
451;Game Night;2018;tt2704998;100;John Francis Daley
4;Game of Thrones: Die Komplette dritte Staffel;2013;tt0944947;555;Alan Taylor
2;Game of Thrones: Die komplette erste Staffel;2011;tt0944947;561;Alan Taylor
376;Game of Thrones: Die komplette fünfte Staffel;2015;tt0944947;559;Alan Taylor
371;Game of Thrones: Die komplette sechste Staffel;2016;tt0944947;558;Alan Taylor
357;Game of Thrones: Die komplette vierte Staffel;2014;tt0944947;546;Alan Taylor
